Case01 (Ts=310.581K Algorithm:I-LECTES)
wavelength      Lsur     Ldown  emis_est
   8.30967  10.83778   5.20362   0.91015
   8.32941  10.90136   5.77590   0.91015
   8.34926  10.97810   6.47084   0.91015
   8.36920  10.92461   5.94337   0.91015
   8.38923  10.89173   5.56632   0.90500
   8.40936  10.99684   6.40936   0.90500
   8.42958  11.06767   6.93046   0.90500
   8.44991  10.98623   6.08059   0.90500
   8.47033  10.91291   5.36808   0.90500
   8.49085  11.00108   6.10852   0.90523
   8.51147  11.14071   7.24518   0.90523
   8.53219  11.09354   6.69176   0.90523
   8.55301  10.99699   5.68473   0.90523
   8.57393  11.07472   6.09723   0.90523
   8.59495  11.11820   5.96076   0.91682
   8.61608  11.07442   4.99066   0.91682
   8.63731  11.05558   4.68615   0.91682
   8.65865  11.08649   5.31398   0.91682
   8.68009  11.16569   6.40447   0.91682
   8.70164  11.12816   6.32787   0.89424
   8.72329  10.98376   5.24618   0.89424
   8.74506  10.91944   4.77830   0.89424
   8.76693  10.97955   5.29606   0.89424
   8.78891  11.14336   6.63514   0.89424
   8.81100  11.17604   6.86212   0.88917
   8.83320  11.01690   5.52454   0.88917
   8.85552  10.92400   4.74134   0.88917
   8.87794  10.93771   4.76913   0.88917
   8.90048  11.02946   5.39778   0.88917
   8.92314  11.11435   5.96753   0.89429
   8.94591  11.07300   5.50098   0.89429
   8.96879  11.05008   5.21822   0.89429
   8.99180  11.11048   5.65278   0.89429
   9.01492  11.14947   5.95604   0.89429
   9.03816  11.14000   5.91087   0.89027
   9.06152  11.13122   5.86761   0.89027
   9.08500  11.14291   5.99419   0.89027
   9.10861  11.07529   5.52734   0.89027
   9.13233  11.01409   5.10277   0.89027
   9.15618  11.05533   5.45477   0.88337
   9.18016  11.05894   5.51867   0.88337
   9.20426  11.02637   5.29759   0.88337
   9.22848  11.01815   5.26645   0.88337
   9.25284  11.00880   5.22699   0.88337
   9.27732  11.03433   5.42218   0.88483
   9.30193  11.09474   5.85968   0.88483
   9.32668  11.08681   5.74447   0.88483
   9.35155  11.08914   5.64708   0.88483
   9.37656  11.17198   6.12562   0.88483
   9.40170  11.21438   6.32931   0.89717
   9.42698  11.22749   6.38707   0.89717
   9.45239  11.24860   6.54712   0.89717
   9.47794  11.25743   6.61682   0.89717
   9.50363  11.26913   6.70219   0.89717
   9.52946  11.25142   6.53645   0.90062
   9.55542  11.18805   5.99964   0.90062
   9.58153  11.16648   5.79691   0.90062
   9.60779  11.21095   6.11326   0.90062
   9.63418  11.23523   6.22061   0.90062
   9.66072  11.23892   6.12213   0.91597
   9.68741  11.28095   6.37613   0.91597
   9.71425  11.32234   6.62084   0.91597
   9.74123  11.30741   6.32354   0.91597
   9.76837  11.28447   5.99543   0.91597
   9.79565  11.29584   6.07020   0.92754
   9.82309  11.31730   6.29756   0.92754
   9.85068  11.32270   6.35217   0.92754
   9.87843  11.31640   6.25575   0.92754
   9.90633  11.30069   6.03622   0.92754
   9.93440  11.27898   5.74763   0.93705
